Industry Sector,Age Group,Gender,2011,2012,2013,2014,2015,2016,2017,2018,2019
Primary Metals,25-29,Male,18,20,18,19,11,11,12,23,31
Primary Metals,30-34,Female,1,0,1,0,1,1,2,3,3
Primary Metals,30-34,Male,24,19,17,17,12,12,18,35,20
Primary Metals,35-39,Female,3,2,3,2,0,1,2,3,0
Primary Metals,35-39,Male,29,29,13,25,11,21,25,35,24
Primary Metals,40-44,Female,2,0,2,3,0,3,3,4,7
Primary Metals,40-44,Male,33,30,24,20,13,17,33,32,26
Primary Metals,45-49,Female,5,3,2,5,1,1,4,6,4
Primary Metals,45-49,Male,48,29,24,20,13,17,27,30,37
Primary Metals,50-54,Female,5,5,5,5,4,1,6,3,4
Primary Metals,50-54,Male,46,52,43,41,30,31,26,38,24
Primary Metals,55-59,Female,0,4,1,3,0,1,2,3,2
Primary Metals,55-59,Male,45,33,22,22,27,19,34,38,47
Primary Metals,60-64,Female,2,1,0,0,1,0,0,3,1
Primary Metals,60-64,Male,16,10,15,9,11,8,15,17,26
Primary Metals,65+,Female,0,0,0,0,0,1,0,0,2
Primary Metals,65+,Male,5,5,3,10,7,7,7,7,5
Pulp & Paper,15-19,Female,1,1,0,0,0,0,0,0,0
Pulp & Paper,15-19,Male,0,0,1,1,0,0,0,0,1
Pulp & Paper,20-24,Female,0,0,0,0,0,1,1,2,3
Pulp & Paper,20-24,Male,6,5,3,2,4,4,3,8,6
Pulp & Paper,25-29,Female,2,0,0,1,0,0,2,0,1
Pulp & Paper,25-29,Male,7,2,6,8,6,3,6,8,9
Pulp & Paper,30-34,Female,0,0,0,0,2,2,1,3,0
Pulp & Paper,30-34,Male,4,7,7,4,5,7,3,4,2
Pulp & Paper,35-39,Female,5,3,0,1,2,0,3,1,1
Pulp & Paper,35-39,Male,5,12,4,13,5,6,6,8,12
Pulp & Paper,40-44,Female,0,3,2,2,0,1,1,3,2
Pulp & Paper,40-44,Male,12,9,8,6,8,11,9,14,8
Pulp & Paper,45-49,Female,4,3,3,2,1,6,0,4,1
Pulp & Paper,45-49,Male,20,11,6,8,12,5,11,11,13
Pulp & Paper,50-54,Female,5,1,0,5,2,3,8,7,3
Pulp & Paper,50-54,Male,28,9,22,8,8,7,10,6,7
Pulp & Paper,55-59,Female,2,1,2,2,3,0,1,2,4
Pulp & Paper,55-59,Male,13,12,9,11,12,14,11,19,9
Pulp & Paper,60-64,Female,4,1,2,0,1,1,0,1,2
Pulp & Paper,60-64,Male,7,6,5,4,7,12,6,13,9
Pulp & Paper,65+,Female,0,0,1,1,0,0,0,0,2
Pulp & Paper,65+,Male,1,4,1,2,3,4,3,4,8
Services,15-19,Female,399,424,454,437,514,529,671,664,617
Services,15-19,Male,507,499,501,496,553,607,692,708,695
Services,20-24,Female,779,794,841,873,874,1049,1114,1221,1221
Services,20-24,Male,1093,1177,1116,1013,1087,1266,1298,1475,1474
Services,25-29,Female,611,624,625,587,598,761,744,856,871
Services,25-29,Male,957,935,903,918,924,1003,1057,1222,1145
Services,30-34,Female,494,433,497,439,471,505,510,568,615
Services,30-34,Male,788,782,773,754,674,781,818,909,868
Services,35-39,Female,581,520,464,424,431,518,536,541,509
Services,35-39,Male,730,710,702,630,594,649,686,742,743
Services,40-44,Female,640,597,557,545,483,552,557,566,539
Services,40-44,Male,721,656,699,597,563,629,618,621,686
Services,45-49,Female,804,733,673,629,569,623,619,659,638
Services,45-49,Male,740,759,679,604,609,606,649,666,650
Services,50-54,Female,828,758,723,725,718,739,807,825,758
Services,50-54,Male,682,666,655,649,627,709,660,700,645
Services,55-59,Female,585,565,532,544,555,652,651,748,755
Services,55-59,Male,505,501,512,569,510,568,588,686,695
Services,60-64,Female,349,326,355,317,324,381,408,480,496
Services,60-64,Male,333,303,333,326,295,421,403,465,484
Services,65+,Female,123,106,117,133,148,180,161,209,235
Services,65+,Male,144,145,167,203,210,198,243,264,307
Transportation,15-19,Female,14,6,9,11,7,10,20,19,21
Transportation,15-19,Male,76,67,75,72,76,84,78,104,101
Transportation,20-24,Female,49,56,49,64,51,47,82,111,89
Transportation,20-24,Male,308,315,307,275,243,281,353,389,358
Transportation,25-29,Female,68,71,72,80,64,80,99,96,123
Transportation,25-29,Male,363,385,348,375,328,339,374,423,391
Transportation,30-34,Female,85,80,88,86,58,80,98,100,98
Transportation,30-34,Male,384,373,355,364,324,357,360,384,402
Transportation,35-39,Female,96,78,95,90,88,107,97,113,100
Transportation,35-39,Male,473,441,384,379,307,338,350,419,388
Transportation,40-44,Female,111,124,107,107,93,104,85,110,123
Transportation,40-44,Male,527,462,417,412,381,425,379,366,428
Transportation,45-49,Female,122,109,110,102,92,94,118,120,130
Transportation,45-49,Male,577,584,536,464,425,449,437,468,451
Transportation,50-54,Female,132,123,124,113,95,121,131,133,145
Transportation,50-54,Male,533,527,526,590,484,505,504,523,471
Transportation,55-59,Female,66,69,68,94,69,98,100,122,133
Transportation,55-59,Male,423,411,450,464,429,495,454,511,542
Transportation,60-64,Female,37,30,32,43,49,61,61,72,83
Transportation,60-64,Male,278,268,286,318,285,313,313,382,412
Transportation,65+,Female,14,8,19,18,20,21,28,33,35
Transportation,65+,Male,95,98,136,134,122,160,160,182,233
