,FV_D,FV_M,FV_DATE,VISIT_CODE,WP_ID,NAICS,RegCode,INDCode,HICCode,HICPerCode,E1524Code,E2554Code,E55pCode,ConCode,Claims_Code
25804,21,6,2019-06-21,2019-06-21 1041303,1041303,212323,5,2,1,3,1,2,1,4,1
7861,6,2,2019-02-06,2019-02-06 1837876,1837876,236110,2,4,6,4,2,2,2,3,4
8826,4,1,2019-01-04,2019-01-04 2047038,2047038,236210,2,4,6,4,2,2,2,3,4
24589,22,5,2019-05-22,2019-05-22 2084484,2084484,221210,5,3,1,2,1,2,1,1,1
23285,18,6,2019-06-18,2019-06-18 2082580,2082580,237110,4,4,5,5,2,2,2,2,3
19376,27,3,2019-03-27,2019-03-27 2063700,2063700,492110,4,6,4,3,1,1,2,4,3
15252,22,5,2019-05-22,2019-05-22 2086187,2086187,236110,3,4,2,3,2,2,2,3,2
15020,24,9,2019-09-24,2019-09-24 1995703,1995703,236110,3,4,2,3,2,2,2,2,2
23131,23,8,2019-08-23,2019-08-23 2106863,2106863,236220,4,4,5,5,2,2,2,1,3
22266,27,9,2019-09-27,2019-09-27 2094181,2094181,236110,4,4,5,5,2,2,2,3,3
6833,27,3,2019-03-27,2019-03-27 2050960,2050960,236110,2,4,6,4,2,2,2,3,4
24657,7,3,2019-03-07,2019-03-07 255977,255977,212323,5,2,1,3,1,2,1,2,1
16591,3,5,2019-05-03,2019-05-03 68470,68470,623310,3,8,6,1,1,2,1,1,4
12110,23,7,2019-07-23,2019-07-23 2099320,2099320,721111,2,9,2,3,2,1,1,1,1
20163,29,11,2019-11-29,2019-11-29 2133008,2133008,236210,4,4,5,5,2,2,2,2,3
8859,1,3,2019-03-01,2019-03-01 2064636,2064636,812115,2,10,2,2,1,1,2,4,1
1550,10,10,2019-10-10,2019-10-10 2121363,2121363,238160,1,4,4,5,2,2,2,4,2
26746,2,11,2019-11-02,2019-11-02 2126096,2126096,236110,5,4,2,4,2,2,2,1,1
21033,30,1,2019-01-30,2019-01-30 2055604,2055604,236210,4,4,5,5,2,2,2,1,3
3768,5,12,2019-12-05,2019-12-05 441426,441426,236210,1,4,4,5,2,2,2,2,2
5742,4,12,2019-12-04,2019-12-04 2134617,2134617,236110,2,4,6,4,2,2,2,4,4
4471,22,5,2019-05-22,2019-05-22 347999,347999,722511,1,9,1,3,2,1,1,4,1
7562,26,9,2019-09-26,2019-09-26 29125,29125,562110,2,12,7,1,2,1,1,4,5
17602,22,1,2019-01-22,2019-01-22 2056741,2056741,446110,4,12,7,1,2,1,1,3,5
23298,22,8,2019-08-22,2019-08-22 2108296,2108296,238320,4,4,5,5,2,2,2,1,3
14524,19,2,2019-02-19,2019-02-19 1887803,1887803,236110,2,4,6,4,2,2,2,3,4
1295,24,1,2019-01-24,2019-01-24 2019579,2019579,236220,1,4,4,5,2,2,2,1,2
15505,11,4,2019-04-11,2019-04-11 1946052,1946052,236110,3,4,2,3,2,2,2,4,2
17020,26,1,2019-01-26,2019-01-26 2057311,2057311,236220,3,4,2,3,2,2,2,4,2
6514,12,12,2019-12-12,2019-12-12 1618404,1618404,237110,2,4,6,4,2,2,2,1,4
14410,5,3,2019-03-05,2019-03-05 389474,389474,236220,2,4,6,4,2,2,2,2,4
18304,29,4,2019-04-29,2019-04-29 2078213,2078213,236110,4,4,5,5,2,2,2,4,3
21135,8,7,2019-07-08,2019-07-08 2094325,2094325,236220,4,4,5,5,2,2,2,4,3
10862,1,10,2019-10-01,2019-10-01 2115432,2115432,236110,2,4,6,4,2,2,2,4,4
25324,13,8,2019-08-13,2019-08-13 69145,69145,622111,5,8,3,1,1,2,1,2,2
25026,5,11,2019-11-05,2019-11-05 224532,224532,236220,5,4,2,4,2,2,2,1,1
22671,13,2,2019-02-13,2019-02-13 2059152,2059152,236220,4,4,5,5,2,2,2,3,3
12823,11,7,2019-07-11,2019-07-11 2097417,2097417,236220,2,4,6,4,2,2,2,3,4
26995,29,10,2019-10-29,2019-10-29 69030,69030,622111,5,8,3,1,1,2,1,2,2
1276,27,8,2019-08-27,2019-08-27 2036117,2036117,236110,1,4,4,5,2,2,2,4,2
15979,11,6,2019-06-11,2019-06-11 191356,191356,451119,3,12,7,1,2,1,1,4,5
14449,2,5,2019-05-02,2019-05-02 2080184,2080184,236110,2,4,6,4,2,2,2,3,4
17786,17,5,2019-05-17,2019-05-17 2083552,2083552,443144,4,12,7,1,2,1,1,1,5
17769,11,3,2019-03-11,2019-03-11 332177,332177,312110,4,5,7,2,1,1,2,2,5
12431,20,12,2019-12-20,2019-12-20 2074316,2074316,236210,2,4,6,4,2,2,2,1,4
23617,30,5,2019-05-30,2019-05-30 431487,431487,332321,4,5,7,2,1,1,2,4,5
11973,4,9,2019-09-04,2019-09-04 2101744,2101744,237130,2,4,6,4,2,2,2,2,4
21095,4,4,2019-04-04,2019-04-04 2027038,2027038,236220,4,4,5,5,2,2,2,2,3
7248,24,1,2019-01-24,2019-01-24 2031998,2031998,236110,2,4,6,4,2,2,2,3,4
15906,9,7,2019-07-09,2019-07-09 2050458,2050458,236110,3,4,2,3,2,2,2,3,2
24591,14,11,2019-11-14,2019-11-14 2084484,2084484,221210,5,3,1,2,1,2,1,3,1
9515,30,5,2019-05-30,2019-05-30 1981446,1981446,238990,2,4,6,4,2,2,2,3,4
3948,23,4,2019-04-23,2019-04-23 1761987,1761987,212323,1,2,1,2,1,2,1,1,1
4730,21,9,2019-09-21,2019-09-21 2117286,2117286,446199,1,12,6,1,2,1,1,4,5
5868,14,1,2019-01-14,2019-01-14 2054553,2054553,236220,2,4,6,4,2,2,2,4,4
24423,14,8,2019-08-14,2019-08-14 1155666,1155666,113311,5,1,1,2,1,1,2,2,1
9562,7,11,2019-11-07,2019-11-07 2097951,2097951,236110,2,4,6,4,2,2,2,4,4
16789,11,6,2019-06-11,2019-06-11 2073607,2073607,236110,3,4,2,3,2,2,2,2,2
6653,21,2,2019-02-21,2019-02-21 2062905,2062905,236110,2,4,6,4,2,2,2,1,4
8331,16,9,2019-09-16,2019-09-16 2114248,2114248,238160,2,4,6,4,2,2,2,1,4
21731,9,5,2019-05-09,2019-05-09 2074479,2074479,236110,4,4,5,5,2,2,2,3,3
15405,8,10,2019-10-08,2019-10-08 2103019,2103019,238910,3,4,2,3,2,2,2,1,2
14693,31,7,2019-07-31,2019-07-31 2065102,2065102,236110,3,4,2,3,2,2,2,3,2
18297,4,3,2019-03-04,2019-03-04 1190394,1190394,445110,4,12,7,1,2,1,1,1,5
26199,26,4,2019-04-26,2019-04-26 1222225,1222225,236220,5,4,2,4,2,2,2,1,1
13520,18,3,2019-03-18,2019-03-18 1945497,1945497,236220,2,4,6,4,2,2,2,3,4
12038,26,3,2019-03-26,2019-03-26 2072100,2072100,722512,2,9,2,3,2,1,1,4,1
4872,9,12,2019-12-09,2019-12-09 2134275,2134275,913910,1,11,1,1,1,2,1,4,1
4363,19,10,2019-10-19,2019-10-19 2122789,2122789,238160,1,4,4,5,2,2,2,4,2
9636,9,8,2019-08-09,2019-08-09 1648090,1648090,721111,2,9,2,3,2,1,1,2,1
14381,17,1,2019-01-17,2019-01-17 2031978,2031978,236110,2,4,6,4,2,2,2,3,4
25841,25,4,2019-04-25,2019-04-25 2078345,2078345,236110,5,4,2,4,2,2,2,2,1
8206,25,4,2019-04-25,2019-04-25 1964392,1964392,236110,2,4,6,4,2,2,2,3,4
9839,23,1,2019-01-23,2019-01-23 2048173,2048173,236220,2,4,6,4,2,2,2,3,4
21175,31,1,2019-01-31,2019-01-31 2056205,2056205,236220,4,4,5,5,2,2,2,1,3
16717,14,8,2019-08-14,2019-08-14 2097031,2097031,236220,3,4,2,3,2,2,2,3,2
4328,30,9,2019-09-30,2019-09-30 2117234,2117234,236220,1,4,4,5,2,2,2,2,2
6960,30,5,2019-05-30,2019-05-30 2086307,2086307,236110,2,4,6,4,2,2,2,4,4
13863,30,10,2019-10-30,2019-10-30 2117096,2117096,236220,2,4,6,4,2,2,2,3,4
23140,18,9,2019-09-18,2019-09-18 2074678,2074678,236110,4,4,5,5,2,2,2,1,3
26613,15,7,2019-07-15,2019-07-15 2098913,2098913,811490,5,10,1,1,1,1,2,1,1
9347,4,10,2019-10-04,2019-10-04 1588858,1588858,722512,2,9,2,3,2,1,1,1,1
20905,23,8,2019-08-23,2019-08-23 2016104,2016104,236220,4,4,5,5,2,2,2,1,3
21913,31,5,2019-05-31,2019-05-31 89621,89621,212323,4,2,1,3,1,2,1,3,1
22846,14,5,2019-05-14,2019-05-14 2082462,2082462,238220,4,4,5,5,2,2,2,4,3
26852,24,10,2019-10-24,2019-10-24 2082814,2082814,811310,5,10,1,1,1,1,2,1,1
9414,16,7,2019-07-16,2019-07-16 2002258,2002258,236110,2,4,6,4,2,2,2,3,4
13042,24,7,2019-07-24,2019-07-24 1574197,1574197,485110,2,6,6,3,1,1,2,4,5
23600,3,10,2019-10-03,2019-10-03 2110340,2110340,237310,4,4,5,5,2,2,2,1,3
25225,24,7,2019-07-24,2019-07-24 2016045,2016045,236220,5,4,2,4,2,2,2,1,1
5812,2,11,2019-11-02,2019-11-02 2099591,2099591,236110,2,4,6,4,2,2,2,3,4
3544,5,2,2019-02-05,2019-02-05 2019829,2019829,236110,1,4,4,5,2,2,2,3,2
864,6,3,2019-03-06,2019-03-06 2044287,2044287,236220,1,4,4,5,2,2,2,1,2
14016,9,2,2019-02-09,2019-02-09 2013474,2013474,812115,2,10,2,2,1,1,2,1,1
22254,11,2,2019-02-11,2019-02-11 2036541,2036541,236110,4,4,5,5,2,2,2,3,3
2793,3,7,2019-07-03,2019-07-03 2040328,2040328,237130,1,4,4,5,2,2,2,3,2
