Industry Sector,Age Group,Gender,2011,2012,2013,2014,2015,2016,2017,2018,2019
Mining,15-19,Female,3,4,1,3,4,3,0,1,1
Mining,15-19,Male,33,30,22,21,26,10,15,22,20
Mining,20-24,Female,14,7,10,3,9,4,9,8,8
Mining,20-24,Male,166,143,130,91,95,82,61,79,92
Mining,25-29,Female,8,4,13,9,3,5,3,4,4
Mining,25-29,Male,175,181,168,122,128,112,127,138,131
Mining,30-34,Female,4,4,11,6,7,7,6,7,2
Mining,30-34,Male,169,181,151,128,137,131,124,123,133
Mining,35-39,Female,10,7,3,5,11,11,4,3,6
Mining,35-39,Male,168,154,152,142,108,112,114,110,134
Mining,40-44,Female,12,3,6,8,5,4,7,3,6
Mining,40-44,Male,150,146,135,120,86,102,84,106,86
Mining,45-49,Female,6,9,7,3,1,4,5,4,5
Mining,45-49,Male,167,150,141,96,87,88,96,108,113
Mining,50-54,Female,5,6,5,3,6,4,1,5,4
Mining,50-54,Male,154,152,146,135,138,101,115,118,86
Mining,55-59,Female,1,1,3,1,5,3,4,7,2
Mining,55-59,Male,105,107,125,104,111,110,120,108,113
Mining,60-64,Female,1,0,1,6,0,2,0,0,1
Mining,60-64,Male,69,74,70,58,58,81,87,95,81
Mining,65+,Female,0,2,0,1,1,0,1,3,2
Mining,65+,Male,58,78,83,80,83,76,86,76,90
Municipal,15-19,Female,29,32,31,36,36,62,39,52,47
Municipal,15-19,Male,39,32,50,46,52,38,22,41,52
Municipal,20-24,Female,41,42,59,38,50,46,44,57,55
Municipal,20-24,Male,91,75,67,79,76,60,56,82,87
Municipal,25-29,Female,28,32,41,21,33,37,33,36,58
Municipal,25-29,Male,69,82,73,74,65,76,79,97,98
Municipal,30-34,Female,34,19,26,38,38,28,36,35,43
Municipal,30-34,Male,106,97,79,83,85,89,87,92,123
Municipal,35-39,Female,28,33,40,43,30,27,37,30,43
Municipal,35-39,Male,98,116,109,120,112,86,107,94,80
Municipal,40-44,Female,31,30,39,36,27,29,30,31,35
Municipal,40-44,Male,123,119,100,116,84,112,85,102,92
Municipal,45-49,Female,53,41,46,49,35,33,36,34,39
Municipal,45-49,Male,110,117,122,103,107,107,95,111,100
Municipal,50-54,Female,47,36,43,42,47,40,45,43,50
Municipal,50-54,Male,109,79,121,119,132,104,111,104,110
Municipal,55-59,Female,28,35,30,32,29,30,36,42,46
Municipal,55-59,Male,99,76,93,76,94,77,96,97,94
Municipal,60-64,Female,17,13,13,20,14,20,24,16,25
Municipal,60-64,Male,44,51,56,57,79,70,48,49,64
Municipal,65+,Female,5,3,6,10,7,10,10,11,9
Municipal,65+,Male,36,52,29,43,38,46,44,43,41
Primary Metals,15-19,Female,0,1,1,2,2,8,9,5,4
Primary Metals,15-19,Male,17,18,12,14,8,10,13,28,17
Primary Metals,20-24,Female,2,7,3,12,6,6,12,14,13
Primary Metals,20-24,Male,61,69,58,71,68,61,66,108,92
Primary Metals,25-29,Female,3,8,6,10,13,14,15,19,13
Primary Metals,25-29,Male,106,128,103,120,102,99,125,148,148
Primary Metals,30-34,Female,7,11,5,7,5,5,21,12,7
Primary Metals,30-34,Male,144,165,142,130,105,145,135,142,162
Primary Metals,35-39,Female,9,15,10,16,10,10,13,15,17
Primary Metals,35-39,Male,184,154,124,156,121,116,137,148,151
Primary Metals,40-44,Female,11,13,13,15,13,22,18,16,16
Primary Metals,40-44,Male,193,184,181,149,139,138,134,169,164
Primary Metals,45-49,Female,17,26,17,14,15,12,16,20,24
Primary Metals,45-49,Male,281,197,192,164,148,144,127,153,164
Primary Metals,50-54,Female,24,20,18,24,21,13,16,17,22
Primary Metals,50-54,Male,309,309,254,247,223,204,184,163,161
Primary Metals,55-59,Female,10,8,8,9,15,26,22,19,25
Primary Metals,55-59,Male,177,218,203,193,181,203,205,218,197
Primary Metals,60-64,Female,1,4,4,0,6,7,8,8,5
Primary Metals,60-64,Male,82,86,82,85,95,93,121,120,156
Primary Metals,65+,Female,3,2,1,1,1,1,5,3,2
Primary Metals,65+,Male,54,66,71,72,70,99,121,151,106
Pulp & Paper,15-19,Female,1,1,1,0,1,1,1,3,0
Pulp & Paper,15-19,Male,2,3,7,4,4,4,4,1,6
Pulp & Paper,20-24,Female,4,2,3,2,5,2,2,8,9
Pulp & Paper,20-24,Male,15,11,18,18,20,18,34,23,21
Pulp & Paper,25-29,Female,2,3,4,2,0,4,4,7,9
Pulp & Paper,25-29,Male,30,16,23,31,26,33,26,37,34
Pulp & Paper,30-34,Female,3,3,6,0,2,2,3,6,4
Pulp & Paper,30-34,Male,34,30,31,41,33,34,41,33,37
Pulp & Paper,35-39,Female,9,4,2,4,7,3,4,3,9
Pulp & Paper,35-39,Male,41,32,30,41,25,37,31,27,35
Pulp & Paper,40-44,Female,18,8,8,7,3,7,5,5,7
Pulp & Paper,40-44,Male,54,59,38,43,27,33,31,29,24
Pulp & Paper,45-49,Female,8,10,13,6,8,7,8,8,8
Pulp & Paper,45-49,Male,72,62,60,49,35,35,35,43,34
Pulp & Paper,50-54,Female,10,4,6,9,9,10,11,3,4
Pulp & Paper,50-54,Male,99,81,82,55,56,57,49,42,28
Pulp & Paper,55-59,Female,9,6,6,5,10,7,5,3,6
Pulp & Paper,55-59,Male,68,76,60,54,69,74,51,54,45
Pulp & Paper,60-64,Female,6,4,6,1,3,4,2,4,2
Pulp & Paper,60-64,Male,28,24,24,26,31,27,25,50,42
Pulp & Paper,65+,Female,1,5,1,5,5,1,2,2,2
Pulp & Paper,65+,Male,38,35,33,44,41,37,27,34,41
Services,15-19,Female,1156,1315,1275,1279,1415,1440,1564,1438,1501
Services,15-19,Male,1715,1722,1587,1694,1692,1704,1739,1778,1762
Services,20-24,Female,1752,1860,1982,2045,2005,2234,2190,2193,2154
Services,20-24,Male,3026,3109,3050,3131,3141,2997,3239,3210,3179
Services,25-29,Female,1193,1208,1289,1237,1296,1388,1515,1533,1598
Services,25-29,Male,2170,2178,2192,2266,2119,2217,2393,2347,2402
Services,30-34,Female,922,969,981,994,980,1012,1042,1056,1061
Services,30-34,Male,1662,1506,1606,1610,1694,1566,1749,1705,1735
Services,35-39,Female,1015,928,929,903,942,899,939,954,990
Services,35-39,Male,1438,1381,1365,1353,1318,1354,1334,1389,1428
Services,40-44,Female,1128,1110,1065,1074,1004,954,1003,984,1008
Services,40-44,Male,1273,1278,1333,1313,1260,1142,1166,1184,1214
Services,45-49,Female,1484,1332,1240,1194,1154,1105,1157,1192,1108
Services,45-49,Male,1320,1278,1218,1180,1150,1126,1096,1125,1144
Services,50-54,Female,1357,1265,1365,1265,1343,1249,1355,1266,1213
Services,50-54,Male,1115,1207,1166,1241,1195,1127,1171,1124,1121
Services,55-59,Female,908,974,1004,1044,1013,1124,1189,1237,1246
Services,55-59,Male,765,845,900,909,973,1011,969,1103,1156
Services,60-64,Female,548,516,486,527,533,592,679,722,757
Services,60-64,Male,494,522,573,563,619,595,726,742,818
Services,65+,Female,178,153,168,218,227,231,271,314,347
Services,65+,Male,284,325,353,382,410,429,460,564,548
Transportation,15-19,Female,25,22,15,30,33,18,35,47,34
Transportation,15-19,Male,189,208,204,237,236,225,266,291,277
Transportation,20-24,Female,128,103,129,110,110,139,130,173,199
Transportation,20-24,Male,780,824,852,843,853,822,814,943,905
Transportation,25-29,Female,142,131,159,124,148,115,128,174,162
Transportation,25-29,Male,814,872,870,880,802,783,811,824,917
Transportation,30-34,Female,159,134,117,143,149,153,151,177,155
Transportation,30-34,Male,800,773,794,789,809,772,772,777,819
Transportation,35-39,Female,141,151,164,158,145,146,159,166,175
Transportation,35-39,Male,787,788,891,830,701,724,756,698,716
Transportation,40-44,Female,191,178,170,179,150,168,174,152,183
Transportation,40-44,Male,810,821,813,825,737,760,715,749,737
Transportation,45-49,Female,231,212,176,180,180,174,191,169,195
Transportation,45-49,Male,903,838,879,833,828,722,797,781,776
Transportation,50-54,Female,183,197,210,231,207,215,201,193,217
Transportation,50-54,Male,830,787,858,959,828,880,781,790,800
Transportation,55-59,Female,117,123,114,144,139,150,166,197,198
Transportation,55-59,Male,579,593,738,729,702,707,771,860,805
Transportation,60-64,Female,63,58,65,67,64,75,79,98,118
Transportation,60-64,Male,366,373,418,471,411,465,484,596,563
Transportation,65+,Female,13,18,27,34,27,37,36,44,49
Transportation,65+,Male,185,215,228,277,296,328,381,405,419
