Geography 2 3,Age group,Reference period,Persons(1000s)
"Oshawa, Ontario",55 to 64 years,2016,32.7
"Oshawa, Ontario",55 to 64 years,2017,34.8
"Oshawa, Ontario",55 to 64 years,2018,33
"Oshawa, Ontario",55 to 64 years,2019,36.9
"Oshawa, Ontario",65 years and over,2015,5.7
"Oshawa, Ontario",65 years and over,2016,7.1
"Oshawa, Ontario",65 years and over,2017,9.1
"Oshawa, Ontario",65 years and over,2018,7.3
"Oshawa, Ontario",65 years and over,2019,10.2
"Toronto, Ontario",15 years and over,2015,"3,350.80"
"Toronto, Ontario",15 years and over,2016,"3,377.30"
"Toronto, Ontario",15 years and over,2017,"3,430.60"
"Toronto, Ontario",15 years and over,2018,"3,476.60"
"Toronto, Ontario",15 years and over,2019,"3,603.60"
"Toronto, Ontario",15 to 24 years,2015,454.9
"Toronto, Ontario",15 to 24 years,2016,447.1
"Toronto, Ontario",15 to 24 years,2017,479.6
"Toronto, Ontario",15 to 24 years,2018,462.1
"Toronto, Ontario",15 to 24 years,2019,499.3
"Toronto, Ontario",25 years and over,2015,"2,895.90"
"Toronto, Ontario",25 years and over,2016,"2,930.20"
"Toronto, Ontario",25 years and over,2017,"2,951.00"
"Toronto, Ontario",25 years and over,2018,"3,014.50"
"Toronto, Ontario",25 years and over,2019,"3,104.30"
"Toronto, Ontario",25 to 44 years,2015,"1,461.20"
"Toronto, Ontario",25 to 44 years,2016,"1,482.40"
"Toronto, Ontario",25 to 44 years,2017,"1,492.40"
"Toronto, Ontario",25 to 44 years,2018,"1,548.70"
"Toronto, Ontario",25 to 44 years,2019,"1,614.90"
"Toronto, Ontario",45 years and over,2015,"1,434.70"
"Toronto, Ontario",45 years and over,2016,"1,447.80"
"Toronto, Ontario",45 years and over,2017,"1,458.60"
"Toronto, Ontario",45 years and over,2018,"1,465.90"
"Toronto, Ontario",45 years and over,2019,"1,489.30"
"Toronto, Ontario",25 to 54 years,2015,"2,243.60"
"Toronto, Ontario",25 to 54 years,2016,"2,251.90"
"Toronto, Ontario",25 to 54 years,2017,"2,271.00"
"Toronto, Ontario",25 to 54 years,2018,"2,324.60"
"Toronto, Ontario",25 to 54 years,2019,"2,372.80"
"Toronto, Ontario",55 years and over,2015,652.3
"Toronto, Ontario",55 years and over,2016,678.3
"Toronto, Ontario",55 years and over,2017,679.9
"Toronto, Ontario",55 years and over,2018,689.9
"Toronto, Ontario",55 years and over,2019,731.4
"Toronto, Ontario",55 to 64 years,2015,524.2
"Toronto, Ontario",55 to 64 years,2016,550.1
"Toronto, Ontario",55 to 64 years,2017,539.1
"Toronto, Ontario",55 to 64 years,2018,560
"Toronto, Ontario",55 to 64 years,2019,584.1
"Toronto, Ontario",65 years and over,2015,128.1
"Toronto, Ontario",65 years and over,2016,128.1
"Toronto, Ontario",65 years and over,2017,140.9
"Toronto, Ontario",65 years and over,2018,129.9
"Toronto, Ontario",65 years and over,2019,147.4
"Hamilton, Ontario",15 years and over,2015,399.4
"Hamilton, Ontario",15 years and over,2016,402.3
"Hamilton, Ontario",15 years and over,2017,429.9
"Hamilton, Ontario",15 years and over,2018,424.2
"Hamilton, Ontario",15 years and over,2019,430
"Hamilton, Ontario",15 to 24 years,2015,62.6
"Hamilton, Ontario",15 to 24 years,2016,59.2
"Hamilton, Ontario",15 to 24 years,2017,66
"Hamilton, Ontario",15 to 24 years,2018,72.4
"Hamilton, Ontario",15 to 24 years,2019,62.5
"Hamilton, Ontario",25 years and over,2015,336.8
"Hamilton, Ontario",25 years and over,2016,343.1
"Hamilton, Ontario",25 years and over,2017,363.9
"Hamilton, Ontario",25 years and over,2018,351.8
"Hamilton, Ontario",25 years and over,2019,367.5
"Hamilton, Ontario",25 to 44 years,2015,163.3
"Hamilton, Ontario",25 to 44 years,2016,170.4
"Hamilton, Ontario",25 to 44 years,2017,184
"Hamilton, Ontario",25 to 44 years,2018,172.5
"Hamilton, Ontario",25 to 44 years,2019,184.4
"Hamilton, Ontario",45 years and over,2015,173.6
"Hamilton, Ontario",45 years and over,2016,172.7
"Hamilton, Ontario",45 years and over,2017,179.9
"Hamilton, Ontario",45 years and over,2018,179.2
"Hamilton, Ontario",45 years and over,2019,183.1
"Hamilton, Ontario",25 to 54 years,2015,257.2
"Hamilton, Ontario",25 to 54 years,2016,267.6
"Hamilton, Ontario",25 to 54 years,2017,281.2
"Hamilton, Ontario",25 to 54 years,2018,264.3
"Hamilton, Ontario",25 to 54 years,2019,280.5
"Hamilton, Ontario",55 years and over,2015,79.6
"Hamilton, Ontario",55 years and over,2016,75.5
"Hamilton, Ontario",55 years and over,2017,82.6
"Hamilton, Ontario",55 years and over,2018,87.5
"Hamilton, Ontario",55 years and over,2019,87
"Hamilton, Ontario",55 to 64 years,2015,62.1
"Hamilton, Ontario",55 to 64 years,2016,58.7
"Hamilton, Ontario",55 to 64 years,2017,67.9
"Hamilton, Ontario",55 to 64 years,2018,69.3
"Hamilton, Ontario",55 to 64 years,2019,70.7
"Hamilton, Ontario",65 years and over,2015,17.5
"Hamilton, Ontario",65 years and over,2016,16.8
"Hamilton, Ontario",65 years and over,2017,14.8
"Hamilton, Ontario",65 years and over,2018,18.2
"Hamilton, Ontario",65 years and over,2019,16.3
"St. Catharines-Niagara, Ontario",15 years and over,2015,219.8
"St. Catharines-Niagara, Ontario",15 years and over,2016,220.9
"St. Catharines-Niagara, Ontario",15 years and over,2017,215.2
"St. Catharines-Niagara, Ontario",15 years and over,2018,220.4
"St. Catharines-Niagara, Ontario",15 years and over,2019,216.9
"St. Catharines-Niagara, Ontario",15 to 24 years,2015,37.9
"St. Catharines-Niagara, Ontario",15 to 24 years,2016,38.6
"St. Catharines-Niagara, Ontario",15 to 24 years,2017,32.9
"St. Catharines-Niagara, Ontario",15 to 24 years,2018,36.6
"St. Catharines-Niagara, Ontario",15 to 24 years,2019,35.7
"St. Catharines-Niagara, Ontario",25 years and over,2015,181.9
"St. Catharines-Niagara, Ontario",25 years and over,2016,182.2
"St. Catharines-Niagara, Ontario",25 years and over,2017,182.2
"St. Catharines-Niagara, Ontario",25 years and over,2018,183.8
"St. Catharines-Niagara, Ontario",25 years and over,2019,181.2
"St. Catharines-Niagara, Ontario",25 to 44 years,2015,86.6
"St. Catharines-Niagara, Ontario",25 to 44 years,2016,85.6
"St. Catharines-Niagara, Ontario",25 to 44 years,2017,86.5
"St. Catharines-Niagara, Ontario",25 to 44 years,2018,84.4
"St. Catharines-Niagara, Ontario",25 to 44 years,2019,83.3
"St. Catharines-Niagara, Ontario",45 years and over,2015,95.3
"St. Catharines-Niagara, Ontario",45 years and over,2016,96.6
"St. Catharines-Niagara, Ontario",45 years and over,2017,95.7
"St. Catharines-Niagara, Ontario",45 years and over,2018,99.4
"St. Catharines-Niagara, Ontario",45 years and over,2019,97.9
"St. Catharines-Niagara, Ontario",25 to 54 years,2015,136.2
"St. Catharines-Niagara, Ontario",25 to 54 years,2016,134.4
"St. Catharines-Niagara, Ontario",25 to 54 years,2017,132.1
"St. Catharines-Niagara, Ontario",25 to 54 years,2018,126.7
"St. Catharines-Niagara, Ontario",25 to 54 years,2019,126.4
"St. Catharines-Niagara, Ontario",55 years and over,2015,45.7
"St. Catharines-Niagara, Ontario",55 years and over,2016,47.8
"St. Catharines-Niagara, Ontario",55 years and over,2017,50.2
"St. Catharines-Niagara, Ontario",55 years and over,2018,57.1
"St. Catharines-Niagara, Ontario",55 years and over,2019,54.8
"St. Catharines-Niagara, Ontario",55 to 64 years,2015,35.2
"St. Catharines-Niagara, Ontario",55 to 64 years,2016,36.9
"St. Catharines-Niagara, Ontario",55 to 64 years,2017,38.9
"St. Catharines-Niagara, Ontario",55 to 64 years,2018,44.5
"St. Catharines-Niagara, Ontario",55 to 64 years,2019,41.7
