"","Industry","Year","AgeRange","Gender","ALTClaims","NLTClaims","FatClaims"
"687","Construction","2015","25-29","Female",22,61,0
"688","Construction","2015","25-29","Male",603,2247,1
"689","Construction","2015","30-34","Female",22,51,0
"690","Construction","2015","30-34","Male",526,1993,2
"691","Construction","2015","35-39","Female",22,49,0
"692","Construction","2015","35-39","Male",452,1553,4
"693","Construction","2015","40-44","Female",14,22,0
"694","Construction","2015","40-44","Male",393,1172,5
"695","Construction","2015","45-49","Female",15,32,0
"696","Construction","2015","45-49","Male",464,1229,2
"697","Construction","2015","50-54","Female",22,40,0
"698","Construction","2015","50-54","Male",449,1190,2
"699","Construction","2015","55-59","Female",10,23,0
"700","Construction","2015","55-59","Male",340,819,2
"701","Construction","2015","60-64","Female",1,6,0
"702","Construction","2015","60-64","Male",164,424,0
"703","Construction","2015","65+","Female",1,9,0
"704","Construction","2015","65+","Male",72,357,0
"705","Construction","2016","15-19","Female",3,17,0
"706","Construction","2016","15-19","Male",141,394,1
"707","Construction","2016","20-24","Female",18,59,0
"708","Construction","2016","20-24","Male",565,1999,1
"709","Construction","2016","25-29","Female",26,73,0
"710","Construction","2016","25-29","Male",686,2274,3
"711","Construction","2016","30-34","Female",23,56,0
"712","Construction","2016","30-34","Male",566,1974,1
"713","Construction","2016","35-39","Female",9,39,0
"714","Construction","2016","35-39","Male",522,1604,0
"715","Construction","2016","40-44","Female",10,34,0
"716","Construction","2016","40-44","Male",408,1256,6
"717","Construction","2016","45-49","Female",20,37,0
"718","Construction","2016","45-49","Male",428,1150,1
"719","Construction","2016","50-54","Female",15,47,0
"720","Construction","2016","50-54","Male",503,1204,3
"721","Construction","2016","55-59","Female",8,19,0
"722","Construction","2016","55-59","Male",375,912,2
"723","Construction","2016","60-64","Female",2,10,0
"724","Construction","2016","60-64","Male",189,476,3
"725","Construction","2016","65+","Female",2,6,0
"726","Construction","2016","65+","Male",76,397,1
"727","Construction","2017","15-19","Female",7,13,0
"728","Construction","2017","15-19","Male",118,495,0
"729","Construction","2017","20-24","Female",23,61,0
"730","Construction","2017","20-24","Male",636,2074,4
"731","Construction","2017","25-29","Female",17,75,0
"732","Construction","2017","25-29","Male",719,2402,1
"733","Construction","2017","30-34","Female",12,45,0
"734","Construction","2017","30-34","Male",654,2100,5
"735","Construction","2017","35-39","Female",12,42,1
"736","Construction","2017","35-39","Male",562,1633,3
"737","Construction","2017","40-44","Female",12,41,0
"738","Construction","2017","40-44","Male",441,1278,1
"739","Construction","2017","45-49","Female",9,36,0
"740","Construction","2017","45-49","Male",459,1177,0
"741","Construction","2017","50-54","Female",19,34,0
"742","Construction","2017","50-54","Male",476,1259,2
